"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\globals.py", "Python", 7, 0, 1, 1, 9
"d:\dev\pygame\new-platformer\groups\camera.py", "Python", 14, 0, 0, 3, 17
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 114, 0, 10, 14, 138
"d:\dev\pygame\new-platformer\inventory\inventorydata.json", "JSON", 0, 1, 0, 0, 1
"d:\dev\pygame\new-platformer\main.py", "Python", 36, 0, 0, 5, 41
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 100, 0, 10, 12, 122
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 9, 0, 0, 1, 10
"d:\dev\pygame\new-platformer\utils\controls.py", "Python", 8, 0, 0, 1, 9
"d:\dev\pygame\new-platformer\utils\events.py", "Python", 38, 0, 0, 1, 39
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", 47, 0, 0, 4, 51
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 135, 0, 5, 24, 164
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 19, 0, 0, 3, 22
"d:\dev\pygame\new-platformer\world\worlddata.py", "Python", 18, 0, 0, 2, 20
"Total", "-", 545, 1, 26, 71, 643
