"filename", "language", "Python", "JSON", "comment", "blank", "total"
"d:\dev\pygame\new-platformer\crafting\recipes.py", "Python", 12, 0, 0, 2, 14
"d:\dev\pygame\new-platformer\globals.py", "Python", 7, 0, 1, 1, 9
"d:\dev\pygame\new-platformer\groups\camera.py", "Python", 26, 0, 0, 6, 32
"d:\dev\pygame\new-platformer\inventory\inventory.py", "Python", 260, 0, 21, 23, 304
"d:\dev\pygame\new-platformer\inventory\inventorydata.json", "JSON", 0, 1, 0, 0, 1
"d:\dev\pygame\new-platformer\main.py", "Python", 53, 0, 2, 7, 62
"d:\dev\pygame\new-platformer\sprites\player.py", "Python", 213, 0, 16, 9, 238
"d:\dev\pygame\new-platformer\sprites\tile.py", "Python", 105, 0, 2, 10, 117
"d:\dev\pygame\new-platformer\ui\menus.py", "Python", 35, 0, 1, 8, 44
"d:\dev\pygame\new-platformer\utils\animations.py", "Python", 32, 0, 0, 2, 34
"d:\dev\pygame\new-platformer\utils\controls.py", "Python", 8, 0, 0, 1, 9
"d:\dev\pygame\new-platformer\utils\events.py", "Python", 38, 0, 0, 1, 39
"d:\dev\pygame\new-platformer\utils\state.py", "Python", 9, 0, 1, 0, 10
"d:\dev\pygame\new-platformer\world\drops.py", "Python", 54, 0, 2, 4, 60
"d:\dev\pygame\new-platformer\world\itemdata.py", "Python", 91, 0, 0, 5, 96
"d:\dev\pygame\new-platformer\world\prefabs.py", "Python", 8, 0, 0, 0, 8
"d:\dev\pygame\new-platformer\world\scene.py", "Python", 237, 0, 9, 25, 271
"d:\dev\pygame\new-platformer\world\texturedata.py", "Python", 76, 0, 0, 3, 79
"Total", "-", 1264, 1, 55, 107, 1427
